Channel,Counts,Energy
1,0,0.25
2,0,0.5
3,0,0.75
4,0,1.0
5,0,1.25
6,0,1.5
7,0,1.75
8,0,2.0
9,0,2.25
10,0,2.5
11,0,2.75
12,0,3.0
13,0,3.25
14,0,3.5
15,0,3.75
16,0,4.0
17,0,4.25
18,0,4.5
19,0,4.75
20,0,5.0
21,0,5.25
22,0,5.5
23,0,5.75
24,0,6.0
25,0,6.25
26,0,6.5
27,0,6.75
28,0,7.0
29,0,7.25
30,0,7.5
31,0,7.75
32,0,8.0
33,0,8.25
34,0,8.5
35,0,8.75
36,0,9.0
37,0,9.25
38,0,9.5
39,0,9.75
40,0,10.0
41,0,10.25
42,0,10.5
43,0,10.75
44,0,11.0
45,0,11.25
46,0,11.5
47,0,11.75
48,0,12.0
49,0,12.25
50,0,12.5
51,0,12.75
52,0,13.0
53,0,13.25
54,0,13.5
55,0,13.75
56,0,14.0
57,0,14.25
58,0,14.5
59,0,14.75
60,0,15.0
61,0,15.25
62,0,15.5
63,0,15.75
64,0,16.0
65,0,16.25
66,0,16.5
67,0,16.75
68,0,17.0
69,0,17.25
70,0,17.5
71,0,17.75
72,0,18.0
73,0,18.25
74,0,18.5
75,0,18.75
76,0,19.0
77,0,19.25
78,0,19.5
79,0,19.75
80,0,20.0
81,0,20.25
82,0,20.5
83,0,20.75
84,0,21.0
85,0,21.25
86,0,21.5
87,0,21.75
88,0,22.0
89,0,22.25
90,0,22.5
91,0,22.75
92,0,23.0
93,0,23.25
94,0,23.5
95,0,23.75
96,0,24.0
97,0,24.25
98,0,24.5
99,0,24.75
100,0,25.0
101,0,25.25
102,0,25.5
103,0,25.75
104,0,26.0
105,0,26.25
106,0,26.5
107,0,26.75
108,0,27.0
109,0,27.25
110,0,27.5
111,0,27.75
112,0,28.0
113,0,28.25
114,0,28.5
115,0,28.75
116,0,29.0
117,0,29.25
118,0,29.5
119,0,29.75
120,0,30.0
121,0,30.25
122,0,30.5
123,0,30.75
124,0,31.0
125,0,31.25
126,0,31.5
127,0,31.75
128,0,32.0
129,0,32.25
130,0,32.5
131,0,32.75
132,0,33.0
133,0,33.25
134,0,33.5
135,0,33.75
136,0,34.0
137,0,34.25
138,0,34.5
139,0,34.75
140,0,35.0
141,0,35.25
142,0,35.5
143,0,35.75
144,0,36.0
145,0,36.25
146,0,36.5
